PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
600052 CG Equity,600052,Shanghai,CNY,BBG000BS4P14,6990064,CNE000000PM9,,,0.000000,,14,1415,141510,,Common Stock,,,
600053 CG Equity,600053,Shanghai,CNY,BBG000BS50W4,6004307,CNE000000PP2,,17.280000,1282409.000000,7491.585024,14,1415,141510,,Common Stock,,,
600054 CG Equity,600054,Shanghai,CNY,BBG000J7F248,6444635,CNE000000PV0,,11.710000,1984379.000000,6010.743000,11,1116,111612,11161210,Common Stock,,,
600055 CG Equity,600055,Shanghai,CNY,BBG000BVWX28,6079037,CNE000000PZ1,,11.640000,2903225.000000,6295.100556,15,1512,151213,,Common Stock,,,
600056 CG Equity,600056,Shanghai,CNY,BBG000BH74L0,6109398,CNE000000Q29,,19.250000,10402060.000000,20568.346529,15,1511,151112,15111210,Common Stock,,,
600057 CG Equity,600057,Shanghai,CNY,BBG000BK03W0,6005775,CNE000000QN5,,5.310000,4572342.000000,11456.081191,16,1617,161715,,Common Stock,,,
600058 CG Equity,600058,Shanghai,CNY,BBG000BW47S6,6002817,CNE000000Q78,,8.620000,2236016.000000,9239.870329,17,1714,171412,,Common Stock,,,
600059 CG Equity,600059,Shanghai,CNY,BBG000BH75N5,6993580,CNE000000Q03,,8.230000,4030982.000000,6654.153878,12,1210,121012,12101210,Common Stock,,,
600060 CG Equity,600060,Shanghai,CNY,BBG000BS6730,6718857,CNE000000PF3,,11.590000,13022940.000000,15165.297363,18,1810,181011,18101112,Common Stock,,,
600061 CG Equity,600061,Shanghai,CNY,BBG000BW1B82,6813116,CNE000000Q11,,9.350000,6181516.000000,39523.662947,14,1410,141010,14101013,Common Stock,,,
600062 CG Equity,600062,Shanghai,CNY,BBG000BJD4G5,6089597,CNE000000Q94,,23.780000,4155065.000000,20673.493945,15,1510,151012,,Common Stock,,,
600063 CG Equity,600063,Shanghai,CNY,BBG000BW5073,6004471,CNE000000QH7,,2.770000,8555262.000000,5334.728297,17,1710,171011,17101112,Common Stock,,,
600064 CG Equity,600064,Shanghai,CNY,BBG000BVR320,6094900,CNE000000PX6,,7.300000,3575952.000000,9022.485282,11,1112,111210,11121011,Common Stock,,,
600066 CG Equity,600066,Shanghai,CNY,BBG000BVR4Z2,6990718,CNE000000PY4,,18.170000,11221020.000000,40227.275682,16,1614,161410,16141010,Common Stock,,,
600067 CG Equity,600067,Shanghai,CNY,BBG000BVSVY2,6113430,CNE000000QD6,,4.070000,4063173.000000,6072.890651,16,1611,161114,16111413,Common Stock,,,
600068 CG Equity,600068,Shanghai,CNY,BBG000BW2RF8,6377214,CNE000000QF1,,7.830000,42469660.000000,36055.407136,16,1615,161512,,Common Stock,,,
600069 CG Equity,600069,Shanghai,CNY,BBG000BVHJQ0,6525897,CNE000000PT4,,3.970000,12586160.000000,6446.620361,17,1713,171311,17131111,Common Stock,,,
600070 CG Equity,600070,Shanghai,CNY,BBG000BGQNM8,6005797,CNE000000QP0,,6.910000,1856033.000000,3606.647675,17,1714,171413,17141311,Common Stock,,,
600071 CG Equity,600071,Shanghai,CNY,BBG000BW4YS7,6004448,CNE000000QJ3,,11.800000,1478431.000000,2802.174981,18,1810,181015,18101513,Common Stock,,,
600072 CG Equity,600072,Shanghai,CNY,BBG000BW8980,6002776,CNE000000QR6,,9.610000,6121247.000000,7075.361376,16,1615,161513,,Common Stock,,,
600073 CG Equity,600073,Shanghai,CNY,BBG000BHMRD1,6008473,CNE000000RS2,,6.940000,7123356.000000,6507.842536,12,1210,121011,,Common Stock,,,
600074 CG Equity,600074,Shanghai,CNY,BBG000BWYBZ6,6004404,CNE000000RC6,,1.420000,14384680.000000,3461.798190,18,1812,181210,,Common Stock,,,
600075 CG Equity,600075,Shanghai,CNY,BBG000BWQ9X2,6001267,CNE000000R10,,6.420000,4951639.000000,6243.593500,17,1710,171011,17101110,Common Stock,,,
600076 CG Equity,600076,Shanghai,CNY,BBG000BJJFP4,6944964,CNE000000QB0,,4.830000,15503090.000000,4995.495743,17,1711,171111,17111112,Common Stock,,,
600077 CG Equity,600077,Shanghai,CNY,BBG000BYRN93,6881823,CNE000000Q86,,3.410000,2983274.000000,4569.817132,14,1415,141510,,Common Stock,,,
600078 CG Equity,600078,Shanghai,CNY,BBG000BWTV51,6003519,CNE000000R51,,3.580000,4443094.000000,2372.010842,17,1710,171011,17101111,Common Stock,,,
