PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
1683 HK Equity,1683,Hong Kong,HKD,BBG009TCTHN8,BF0WBN0,KYG7775C1042,,0.890000,112400.000000,445.000000,11,1114,111416,11141613,Common Stock,4000,,
1685 HK Equity,1685,Hong Kong,HKD,BBG00172G6T3,B468DF1,KYG121611084,,0.840000,1052700.000000,649.965960,16,1611,161111,16111111,Common Stock,1000,,
1686 HK Equity,1686,Hong Kong,HKD,BBG000BR21T1,6222217,KYG857001054,,5.660000,979186.500000,13161.833805,18,1814,181410,18141010,Common Stock,1000,,
1689 HK Equity,1689,Hong Kong,HKD,BBG005MYMHH9,BH4PFB5,KYG4643G1029,,2.140000,499800.000000,1451.990000,17,1712,171210,,Common Stock,2000,,
168 HK Equity,168,Hong Kong,HKD,BBG000BHWDF9,6905808,CNE1000004K1,,42.800000,1683972.000000,28036.960818,12,1210,121012,12101210,Common Stock,2000,,
1690 HK Equity,1690,Hong Kong,HKD,BBG00B0TKFH7,BYXD973,,,0.260000,1113500.000000,332.800000,16,1615,161511,16151112,Common Stock,10000,,
1693 HK Equity,1693,Hong Kong,HKD,BBG00HBSXN74,BYP63C3,KYG1R51A1070,,0.340000,1459600.000000,612.000000,11,1114,111411,,Common Stock,4000,,
1695 HK Equity,1695,Hong Kong,HKD,BBG00H1VV034,BYVSXC3,KYG773601086,,0.243000,622750.000000,262.440000,12,1210,121011,,Common Stock,5000,,
1696 HK Equity,1696,Hong Kong,HKD,BBG00HLKDR55,BD9G4P2,IL0011418113,,5.300000,249219.500000,2343.424680,15,1512,151213,,Common Stock,400,,
1697 HK Equity,1697,Hong Kong,HKD,BBG00DYKW7Z0,BD2CBD4,CNE100002R24,,3.020000,12450.000000,1954.166500,14,1413,141311,,Common Stock,1000,,
1698 HK Equity,1698,Hong Kong,HKD,BBG0014JCQ19,B63MHK3,KYG126231078,,1.680000,0.000000,3486.000000,11,1120,112017,11201711,Common Stock,1000,,
1699 HK Equity,1699,Hong Kong,HKD,BBG002PTFBC0,BYY0KK3,KYG2162B1169,,0.183000,2627000.000000,292.800000,12,1210,121010,12101011,Common Stock,4000,,
169 HK Equity,169,Hong Kong,HKD,BBG000CZX289,BRTF6T5,BMG9430N1039,,0.810000,632948.600000,3804.850655,14,1415,141510,14151011,Common Stock,1000,,
16 HK Equity,16,Hong Kong,HKD,BBG000BF0155,6859927,HK0016000132,,120.900000,2561217.000000,350248.058527,14,1415,141510,14151014,Common Stock,500,,
1700 HK Equity,1700,Hong Kong,HKD,BBG00171FXP1,B3ZNNL6,KYG837851081,,1.810000,2055300.000000,3899.194310,12,1212,121210,12121010,Common Stock,1000,,
1702 HK Equity,1702,Hong Kong,HKD,BBG00H1PFG49,BYVKR83,KYG2815R1048,,3.790000,18400.000000,2351.588880,17,1710,171010,17101012,Common Stock,4000,,
1705 HK Equity,1705,Hong Kong,HKD,BBG00K645BX4,BFX0647,KYG1535R1056,,1.420000,811292.500000,568.000000,12,1211,121111,,Common Stock,4000,,
1706 HK Equity,1706,Hong Kong,HKD,BBG00J3QG777,BF368Y9,,,3.280000,2176000.000000,3280.000000,16,1615,161511,,Common Stock,5000,,
1707 HK Equity,1707,Hong Kong,HKD,BBG00HTW2V54,BYWG3R1,KYG3835R1083,,0.490000,25505200.000000,686.000000,16,1615,161511,16151110,Common Stock,8000,,
1708 HK Equity,1708,Hong Kong,HKD,BBG000FKRZ10,B01C5Z4,CNE100000148,,9.130000,532650.000000,2095.335000,16,1611,161110,16111013,Common Stock,500,,
1709 HK Equity,1709,Hong Kong,HKD,BBG00B3VRZT5,BYTRG78,KYG795831034,,0.570000,10348100.000000,640.566000,11,1110,111010,11101010,Common Stock,1000,,
